feature 4,output
0.92957652,0
1.69379652,1
1.10802252,0
-4.92944348,1
-3.09714348,0
0.11885652,1
1.24379752,1
1.68991652,1
-0.08424348,1
1.95370652,1
1.67956652,1
-4.85054348,1
-3.13724348,0
2.04163652,0
1.02396652,0
1.08474652,1
-1.06954348,1
1.79723652,0
0.54681652,1
-2.55664348,0
1.67568652,0
1.58646652,0
2.99075652,0
2.11275652,1
-6.31174348,1
-0.67514348,0
-2.90964348,0
0.74725652,0
1.28905552,1
-2.13244348,0
1.92396652,0
-0.19674348,0
0.79379652,0
-1.70704348,1
-3.18244348,1
1.73775652,0
2.73345652,0
0.81707652,0
-5.85784348,0
1.61879652,1
0.90759652,1
1.30327652,1
1.04595652,1
1.27353852,1
2.15283652,0
0.74725652,0
-0.01954348,1
0.85198652,0
-2.81654348,0
3.35415652,0
1.08215652,0
-0.96864348,1
1.70413652,0
-0.77604348,0
1.40931652,1
2.29765652,0
2.82135652,0
1.26060752,1
1.29164152,1
1.74422652,0
-0.26264348,0
1.17138352,0
-0.69194348,0
-3.27424348,0
2.12697652,0
-0.26264348,0
-2.93674348,0
0.82741652,0
1.19336652,1
0.20285652,0
0.81707652,0
2.32355652,0
-6.39194348,0
2.62865652,0
0.70586652,1
-2.07814348,0
-5.61864348,0
-1.49234348,1
-0.46824348,0
0.64121652,1
-0.76564348,1
1.67827652,1
-2.02774348,1
0.10065652,1
2.40365652,1
1.57741652,0
0.78474652,0
0.51578652,0
-6.45014348,0
-4.75094348,0
1.64336652,1
1.75586652,0
2.42955652,1
-2.84104348,1
0.66061652,1
2.15930652,1
0.98259652,1
-2.90574348,0
-0.05574348,1
1.60974652,1
-0.07124348,1
0.63345652,0
-0.91694348,0
2.04939652,1
2.31055652,0
1.48818652,0
-6.39704348,1
1.56836652,0
2.88085652,0
0.26880652,0
-1.15744348,1
0.13045652,1
-3.06224348,0
-1.33594348,0
1.12612552,0
1.06922652,1
2.02223652,0
0.74725652,0
-0.61564348,0
1.63818652,1
0.31923652,0
1.84637652,1
0.18735652,1
-5.48804348,1
-2.94974348,1
-0.86134348,0
0.43949652,1
1.13000452,0
-1.00364348,0
2.20455652,0
1.00198652,0
-1.47044348,1
0.53000652,1
-3.54844348,0
1.53344652,1
1.95241652,0
-2.72084348,1
-0.21994348,1
0.38000652,1
1.11060852,0
-2.23594348,1
3.12005652,0
1.41189652,0
-2.89024348,0
1.99637652,1
-2.97684348,0
0.73431652,1
-0.52124348,0
1.53344652,1
-0.68164348,1
-2.36524348,0
1.68086652,1
-1.42644348,1
-3.20314348,1
0.20027652,0
2.63645652,1
1.13259152,1
0.15375652,0
-0.74364348,0
-0.92214348,1
2.10758652,0
0.62440652,1
1.40413652,0
-1.01524348,1
0.11755652,1
1.55284652,1
2.14508652,0
0.16925652,1
0.06065652,0
0.78862652,0
1.49465652,0
-5.91084348,0
1.55543652,1
1.40672652,0
-3.34794348,1
1.53344652,0
-0.42684348,1
-2.69364348,0
0.14335652,0
-6.68024348,0
0.39294652,1
0.64380652,0
1.51922652,1
-4.91264348,1
0.32957652,1
-1.58544348,1
0.72785652,1
-0.25364348,1
0.77828652,0
-0.37514348,1
1.06276652,1
0.73043652,0
-2.36524348,1
1.24896952,1
-4.59714348,0
0.72267652,0
-0.20444348,1
0.89078652,0
0.58949652,1
-1.48204348,1
-1.90874348,1
1.07181652,0
0.27526652,0
-0.54584348,0
-0.04544348,0
-0.29884348,1
1.06664652,0
-0.54064348,1
0.77052652,1
2.37395652,0
0.43561652,0
0.75629652,0
-0.09454348,1
0.82095652,1
-0.30794348,0
1.58905652,1
0.02445652,1
0.50026652,0
1.81146652,1
-2.82554348,0
2.22395652,1
0.24811652,1
0.24552652,1
1.77784652,0
-1.71094348,0
-2.50744348,0
-5.58374348,1
-1.58674348,1
-2.70014348,1
0.01925652,1
1.13517752,0
-0.40494348,1
-0.25494348,0
-2.08074348,0
0.33216652,1
2.64675652,0
1.68215652,0
-1.70964348,1
1.48301652,0
0.16925652,0
-2.78674348,0
-2.06914348,1
2.14120652,0
0.08775652,1
-0.60404348,0
-1.27254348,1
0.38518652,0
1.58646652,0
0.53518652,1
-2.88114348,0
1.92525652,1
1.83344652,0
1.17009052,1
2.09594652,0
2.80845652,0
-1.99794348,1
2.66875652,0
0.20285652,0
-0.09064348,0
-0.64674348,0
-2.44544348,1
-0.68034348,0
3.12005652,0
1.02009652,0
1.59939652,0
-0.01304348,0
-2.89024348,0
1.69249652,0
1.59163652,1
1.50758652,1
0.24423652,0
-2.53334348,1
1.87870652,1
2.39855652,1
-2.70404348,1
1.05371652,1
2.26145652,0
1.13517752,1
1.51275652,0
0.74725652,0
1.86577652,0
0.56880652,1
-1.80404348,0
-2.82034348,1
2.23425652,1
1.86577652,0
2.30675652,0
1.34594652,0
1.59422652,0
2.52395652,1
0.36966652,1
2.13861652,0
-4.25184348,0
1.41448652,0
0.91405652,0
-4.03464348,0
1.41448652,0
-1.00614348,0
2.04939652,0
-3.57554348,0
-6.59364348,0
0.23001652,0
-0.74624348,1
0.88172652,1
-0.02994348,0
1.31750652,0
1.19465952,1
-0.31824348,1
1.55284652,1
2.49675652,0
-1.03074348,0
0.79250652,0
2.01835652,0
2.40495652,0
1.35888652,1
-4.35404348,1
-1.58294348,0
2.16318652,1
-3.15014348,1
-1.40314348,0
1.79853652,1
-2.24754348,1
-0.45924348,0
0.04895652,0
0.54552652,0
3.05795652,0
-5.76734348,1
0.86621652,1
-0.28074348,0
1.07440652,1
0.74336652,0
-2.07294348,1
1.04465652,0
2.09077652,1
0.20285652,0
-6.46954348,0
-1.94364348,1
-1.95914348,0
1.08862652,1
0.57914652,0
0.62052652,1
-2.17254348,0
-2.72344348,0
0.68517652,0
-0.38424348,0
-1.52854348,1
0.60500652,0
1.39250652,0
1.76879652,1
-2.54494348,0
1.78560652,1
2.13602652,0
-0.10744348,0
-0.97774348,0
-0.84064348,1
-2.84104348,0
1.25672752,1
-1.65404348,1
1.63689652,1
0.59207652,1
1.88775652,0
0.60500652,0
-3.21224348,0
2.54855652,1
-0.12044348,1
1.15069452,0
-0.25234348,1
0.43044652,1
1.72870652,1
2.16447652,1
0.74466652,0
1.88387652,0
1.12483252,0
1.23603852,1
1.55672652,1
-3.14624348,0
-0.42174348,0
0.80155652,1
-1.99154348,1
-3.69714348,0
2.93515652,1
-2.89924348,1
1.86835652,0
1.90973652,1
2.67135652,1
1.94335652,1
1.63172652,1
-1.24154348,0
-4.62814348,1
0.93991652,0
-0.05444348,0
-0.54324348,0
1.19724572,1
1.94594652,0
1.95499652,1
0.86621652,0
0.47052652,0
-3.70614348,0
2.18128652,0
1.26707252,0
-0.35574348,0
2.35845652,0
-2.98974348,0
0.03735652,1
-2.16094348,0
-1.74714348,1
2.32865652,0
0.00885652,0
1.47396652,0
2.08301652,1
1.84508652,0
1.91491652,0
1.32008652,1
-3.64534348,0
1.80499652,1
3.27785652,0
-0.84064348,1
2.18904652,1
0.57009652,1
0.65026652,0
0.23647652,1
-0.32994348,0
0.03345652,1
1.16362552,0
0.89595652,0
0.82095652,1
1.71189652,0
0.02445652,1
1.12871152,1
-4.92684348,0
1.94077652,0
1.46879652,0
1.30198652,0
0.78345652,1
1.15457352,0
-1.49754348,1
-2.69624348,1
-0.59244348,1
-6.39704348,1
-3.13464348,0
-3.13594348,0
0.73819652,1
2.29245652,1
1.02784652,1
1.54379652,0
1.49982652,0
-0.00924348,0
1.82568652,0
-0.08294348,1
-2.97164348,0
-1.61004348,1
0.22354652,0
-1.91914348,0
0.84810652,0
0.98647652,1
1.42482652,1
-1.95404348,1
2.08947652,0
1.21146952,0
0.47181652,0
-0.24194348,0
-0.56004348,0
-6.37254348,1
-3.06094348,1
-0.30404348,1
1.84120652,1
0.48733652,0
1.48689652,1
-4.28024348,1
1.75586652,1
1.23862452,1
-2.81524348,0
1.02655652,0
1.97827652,0
2.77225652,1
2.80975652,0
-2.50484348,1
-0.81994348,0
2.27055652,0
2.41665652,0
1.40801652,0
0.62311652,1
1.61103652,1
0.66061652,1
-0.02344348,0
1.21664252,1
1.52827652,0
2.38685652,1
-2.33164348,1
1.03560652,1
-1.23244348,1
1.27353852,0
0.15755652,0
1.77654652,0
-2.08204348,0
1.54249652,1
-5.43244348,1
2.74505652,0
-1.33854348,0
-5.19964348,1
1.06276652,0
0.57914652,0
-3.82254348,1
1.74163652,1
1.58646652,1
0.83000652,0
-6.34274348,1
2.05456652,0
1.07310652,1
-1.72384348,1
-3.20054348,0
-4.68244348,1
2.07396652,1
0.85716652,1
-1.76784348,0
-2.50744348,0
-3.03114348,0
0.57526652,1
-1.43544348,1
-0.39584348,0
1.79982652,0
2.51745652,1
1.66792652,1
0.36449652,1
-0.27044348,0
2.02870652,0
0.78992652,0
2.16059652,0
0.07355652,1
0.47957652,0
1.07181652,1
1.64853652,1
-1.33594348,0
1.60586652,0
-3.40484348,0
0.46147652,1
1.84249652,1
-1.52344348,1
1.94465652,0
2.69595652,1
-1.81694348,0
-3.67124348,0
-0.70614348,1
0.17445652,1
-0.52904348,1
1.33819652,1
-5.62774348,0
1.21793552,0
-0.08934348,0
1.23733152,1
-0.19414348,0
2.37135652,0
-0.64674348,0
-0.52514348,1
1.19465952,1
2.42955652,0
-1.40704348,1
1.40931652,0
1.36663652,1
0.95414652,1
0.30759652,0
0.26621652,0
3.12915652,0
0.77181652,1
0.77828652,0
-2.51134348,1
0.11105652,1
0.88819652,0
-1.39924348,0
0.99940652,1
-0.47604348,1
1.38732652,1
-3.23284348,0
-2.37294348,1
-5.66004348,1
-4.02424348,1
-2.82944348,0
0.89595652,1
-0.22644348,1
0.42138652,1
0.61276652,0
-2.77124348,0
-0.59364348,0
0.60112652,1
1.76620652,0
-1.42124348,1
-1.46914348,0
2.27955652,0
2.83175652,0
2.31055652,0
0.77052652,0
1.74292652,1
0.49121652,0
1.06922652,0
0.38518652,0
0.65414652,0
0.57914652,0
-1.84414348,1
1.96792652,0
1.93689652,1
-1.18724348,1
-0.27424348,0
0.10195652,1
-5.59274348,1
0.33087652,0
1.96792652,1
2.31055652,1
0.52612652,1
1.50500652,1
1.29164152,1
-0.64674348,0
-5.61864348,0
0.83776652,1
-4.47424348,1
-4.41214348,0
-2.99104348,0
2.61055652,1
1.97697652,0
-2.08464348,0
-2.74534348,1
0.84293652,1
0.84164652,0
2.41145652,1
-0.15924348,0
1.21922852,0
-2.55014348,0
0.72138652,1
1.87223652,1
0.06705652,1
-0.56914348,0
0.83129652,1
-4.63074348,0
-1.24024348,1
-3.87294348,0
1.13000452,0
2.34935652,0
0.38647652,1
1.94594652,0
-0.98674348,0
2.59245652,0
-1.39024348,1
-2.26434348,1
1.90844652,0
-1.53374348,1
-2.22814348,0
2.00284652,0
-0.73594348,1
2.54335652,0
-3.78634348,0
-2.40274348,0
-0.47604348,0
0.14075652,0
1.71448652,1
1.57482652,0
2.15283652,1
-0.99194348,1
0.87655652,0
0.68517652,0
-4.89064348,1
1.66534652,0
-0.92344348,1
-6.31174348,0
0.66449652,0
1.97568652,0
1.80499652,0
1.00198652,0
-1.63334348,1
0.45630652,0
1.52051652,1
-2.66654348,0
-1.51824348,0
1.54249652,0
-0.18894348,1
1.59939652,0
-1.77174348,0
-0.10364348,1
0.53000652,1
1.67051652,0
1.85542652,0
-3.78114348,0
1.15845252,1
1.51146652,0
0.28302652,0
0.36319652,1
-5.61864348,0
0.43431652,0
-0.16434348,0
-1.64234348,1
1.28905552,1
-0.76304348,1
-5.42594348,1
-0.71654348,1
-1.37604348,1
-2.71304348,1
0.20802652,0
0.58302652,0
1.37569652,0
-0.26264348,1
2.19935652,0
2.20195652,0
1.67051652,0
2.43345652,1
-2.62774348,1
-2.55664348,1
1.66663652,1
0.21449652,1
0.96060652,1
1.79335652,0
1.51275652,0
1.66663652,1
2.15930652,0
2.40115652,0
-2.25404348,1
0.70198652,1
-2.66914348,1
2.84725652,0
-0.23424348,1
0.20285652,0
0.83905652,0
0.33087652,1
2.56795652,0
-3.83674348,0
0.52742652,1
0.32440652,1
0.46794652,0
-1.27514348,0
2.06490652,1
-1.30104348,1
0.63216652,1
1.63043652,0
2.56795652,1
0.95155652,0
0.69164652,1
-1.00614348,1
2.09335652,1
3.34635652,0
-1.74454348,0
-1.02174348,0
1.78689652,1
-3.13594348,0
-3.93244348,0
0.36707652,1
0.74336652,1
1.59163652,1
2.15930652,1
2.13214652,1
1.51146652,1
1.64465652,0
0.69940652,0
0.73690652,1
1.79335652,1
1.73775652,1
-2.54884348,0
2.35975652,1
1.39767652,0
0.10455652,1
2.81615652,0
0.89853652,0
1.30198652,1
-4.07724348,0
2.48385652,0
2.02999652,1
-0.01184348,1
1.94982652,1
-1.52474348,0
0.57397652,1
2.33255652,0
2.57825652,1
0.70457652,0
1.90327652,1
-3.65314348,0
1.41706652,0
-0.61954348,0
-3.41394348,0
-3.07384348,1
-0.66734348,0
-0.92084348,1
-3.38034348,1
-0.38424348,0
0.06445652,0
0.19380652,1
0.66449652,1
-2.62384348,0
0.04765652,0
1.62137652,1
2.32745652,1
1.00845652,0
0.29207652,0
0.28820652,0
1.42612652,0
1.19983192,1
1.76103652,0
2.27825652,0
1.64077652,0
-6.31174348,0
0.89595652,0
0.13435652,0
0.60630652,1
-3.15404348,0
1.50758652,1
-2.85144348,1
0.74983652,0
0.44983652,0
2.68425652,0
-2.03414348,0
-3.03504348,0
0.09425652,1
2.22265652,0
-1.18074348,1
1.36146652,0
0.20675652,0
0.29337652,0
-3.88844348,1
-0.77214348,0
1.56060652,1
2.76705652,1
1.33172652,0
-0.48114348,0
-3.08804348,0
2.06102652,0
1.94723652,0
0.53776652,1
-1.03074348,1
-1.31784348,1
3.01925652,0
1.04983652,1
3.10065652,0
2.42565652,0
-2.14924348,0
-1.52084348,0
0.62955652,0
-4.01904348,0
-0.00404348,1
-3.11394348,0
1.17397052,0
2.38815652,1
1.81534652,1
0.61276652,1
1.45974652,0
0.31794652,0
-0.35704348,0
2.38685652,0
0.77569652,0
1.77267652,0
-0.87424348,0
-0.54974348,0
0.63474652,0
-1.84154348,0
0.22483652,0
-0.80314348,1
-1.65274348,0
0.72009652,1
0.40975652,0
1.03690652,0
0.75759652,0
-4.27904348,0
2.08559652,0
1.47137652,1
-3.17474348,0
1.60456652,1
0.59466652,0
-1.59194348,1
-1.11354348,1
-0.19674348,1
1.19465952,0
-0.68674348,0
0.98905652,0
2.72055652,1
0.20675652,0
0.24423652,1
1.75715652,0
2.40365652,0
1.68732652,0
2.01577652,1
-0.08934348,1
1.17009052,1
1.69896652,1
0.46018652,0
-2.77514348,0
-2.76474348,0
2.37915652,0
2.07784652,1
1.96922652,1
2.84595652,0
2.75675652,0
1.40155652,1
2.10111652,0
-1.89714348,1
0.52612652,0
-3.26654348,0
2.05456652,0
0.20673652,0
-0.09064348,1
0.95414652,0
1.37827652,0
1.99896652,0
-0.28854348,1
0.74466652,1
-1.03854348,0
0.65285652,0
2.16189652,1
0.50931652,0
-0.37774348,0
0.02955652,0
-4.14194348,0
0.78733652,0
-3.01434348,0
1.42612652,1
1.65111652,1
1.77008652,1
-1.34884348,0
1.25802152,0
0.20675652,0
2.96745652,1
-7.35654348,0
1.57224652,1
-1.97084348,0
2.39335652,1
1.22698652,1
-2.84104348,0
0.93086652,0
1.12741852,1
0.52225652,0
-3.12164348,0
-2.34064348,0
0.25845652,0
1.70801652,1
-1.04234348,1
-2.98854348,0
1.74939652,1
-4.18334348,0
1.02138652,0
-0.27304348,1
1.84120652,0
-2.12854348,1
2.03516652,0
1.98990652,0
2.49555652,0
1.51275652,1
2.84595652,1
0.06965652,1
-3.18764348,0
-6.56644348,0
1.16491852,0
-0.30664348,1
0.99552652,0
2.39205652,0
1.39379652,0
1.78301652,0
0.94767652,0
3.24805652,0
0.55587652,0
0.95414652,0
1.26965852,0
2.27955652,0
-3.84064348,1
2.19295652,0
-2.02514348,1
-2.52164348,0
-0.06094348,0
2.29765652,0
1.52827652,0
-5.04064348,1
0.98388652,1
-1.24924348,1
1.05241652,1
-0.65444348,0
0.66061652,0
2.56925652,1
0.03215652,1
-4.08114348,0
-3.72424348,0
2.26795652,0
1.70155652,0
0.36190652,1
2.42055652,1
1.06276652,1
-1.90874348,1
-2.20874348,1
-2.82424348,0
1.96534652,1
-4.67214348,0
-0.48244348,1
-0.20574348,1
-2.33414348,0
-3.23544348,0
1.50112652,0
0.85845652,1
0.62955652,0
0.68905652,1
-0.80314348,1
-1.60484348,1
-0.87944348,1
1.12353952,0
0.11495652,0
0.17695652,1
0.62181652,0
-0.63114348,1
-4.67214348,0
3.64115652,0
2.13473652,1
-0.29114348,0
1.54379652,0
2.08559652,1
1.43646652,0
-0.10744348,0
1.11319452,0
-0.68034348,0
1.67439652,0
1.93559652,1
1.02526652,1
-3.15274348,0
1.79335652,1
-0.11524348,0
0.20285652,0
-0.29754348,0
-1.65664348,1
1.74163652,0
-0.48634348,1
0.40975652,1
-0.84844348,0
0.01535652,0
1.85025652,1
0.72009652,0
-4.23894348,1
-2.61994348,1
2.08301652,0
-2.85664348,1
0.81319652,1
0.01665652,1
1.96404652,1
1.52956652,0
-4.78464348,1
0.62955652,0
-1.70314348,1
-0.07254348,1
-0.05704348,0
2.19033652,0
-6.31174348,0
0.03085652,0
0.16405652,1
-3.90144348,0
2.21365652,0
-4.38764348,0
1.60974652,0
1.16233252,0
-2.27214348,0
1.26707252,0
-6.35704348,0
0.47181652,1
-0.92864348,0
1.07569652,0
2.09465652,0
3.32695652,1
-2.03164348,0
0.94638652,0
-2.12084348,1
1.84379652,1
0.61405652,0
-0.30274348,0
-1.15104348,1
-2.94974348,1
-3.49154348,1
1.90715652,0
-2.24624348,0
1.49853652,0
-1.31004348,1
0.76147652,1
-5.17774348,1
1.99120652,1
2.16059652,1
-2.62254348,0
0.59983652,0
1.59293652,0
0.90759652,0
-1.72384348,1
1.48818652,1
1.10543652,0
0.80414652,0
-0.02214348,1
-5.77254348,1
-1.26484348,0
-2.00964348,0
-2.04454348,1
1.85284652,1
0.62699652,0
-0.18374348,0
-5.06264348,0
1.98603652,0
-4.27514348,1
1.37439652,0
0.77310652,0
1.76361652,0
-2.67554348,1
0.37483652,0
-2.88504348,0
-2.72854348,0
0.53906652,1
-0.48504348,1
1.70413652,0
-2.84754348,0
-6.10874348,1
1.35241652,1
0.32182652,1
2.14508652,0
-3.29364348,1
-0.91954348,1
1.58517652,0
-5.32894348,1
2.23305652,1
-2.65744348,1
1.29810652,0
0.20932652,1
1.83861652,0
2.10887652,1
-1.45614348,0
2.89245652,0
0.20675652,0
1.61620652,0
0.66319652,1
1.47008652,0
2.02094652,0
-0.11264348,0
-2.94064348,1
0.33863652,0
-5.22554348,1
1.06922652,1
-5.19454348,1
-2.02904348,1
2.10887652,1
1.34594652,0
0.98129652,1
0.33863652,0
-0.92864348,1
0.52354652,1
0.85457652,1
-1.47044348,1
1.25802152,0
-3.22774348,0
-0.24584348,1
1.79594652,0
0.78992652,1
1.15845252,0
-0.04154348,1
0.52483652,1
1.61749652,1
0.86750652,1
-6.20704348,1
-5.80614348,0
-4.39924348,1
2.21615652,0
-0.51994348,1
1.68086652,0
-1.28294348,0
1.33431652,1
1.41965652,0
-1.88544348,0
-0.68034348,0
-2.24884348,0
1.25284852,1
0.95414652,0
3.10195652,1
-0.30274348,0
0.34897652,1
1.68991652,0
0.51061652,1
0.60888652,0
1.63818652,1
1.13517752,0
0.02185652,0
-0.53034348,0
0.89595652,0
1.18560792,0
1.55672652,0
-3.67514348,1
1.08733652,1
-1.21824348,0
2.40115652,0
0.15755652,0
-2.98854348,1
1.06793652,1
0.73302652,1
-0.48894348,1
2.16447652,0
1.06405652,1
0.97483652,1
-0.69454348,1
1.10802252,1
0.86621652,0
-0.47214348,0
-4.72644348,1
-1.70574348,1
-1.86864348,1
0.14855652,1
-2.81524348,1
0.89595652,1
1.90456652,0
-1.47944348,1
1.79077652,1
2.46575652,0
